Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeID,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrentManager
40,No,Travel_Rarely,Sales,2,2,Marketing,516,Female,Sales Executive,Medium,Divorced,5715,7,12,3,8,Better,5,4,1,3
25,Yes,Travel_Rarely,Sales,5,3,Marketing,142,Male,Sales Executive,High,Single,5744,1,11,3,6,Better,6,4,0,3
37,Yes,Travel_Frequently,Research & Development,10,3,Medical,342,Male,Manufacturing Director,High,Divorced,10048,6,11,3,17,Better,1,0,0,0
30,No,Travel_Frequently,Research & Development,3,3,Medical,680,Female,Research Scientist,High,Divorced,2083,1,20,4,1,Better,1,0,0,0
42,No,Non-Travel,Research & Development,21,2,Medical,270,Female,Manufacturing Director,High,Divorced,5265,2,16,3,11,Better,5,3,0,2
35,No,Travel_Frequently,Research & Development,2,3,Medical,269,Female,Laboratory Technician,Medium,Single,4425,5,11,3,10,Better,6,2,1,2
40,Yes,Travel_Rarely,Sales,22,2,Marketing,492,Male,Sales Executive,High,Married,6380,2,12,3,8,Better,6,4,1,0
54,No,Travel_Frequently,Research & Development,1,4,Life Sciences,1245,Female,Manufacturing Director,High,Divorced,10502,7,17,3,33,Bad,5,4,1,4
25,No,Travel_Rarely,Sales,28,3,Life Sciences,183,Male,Sales Executive,High,Married,8639,2,18,3,6,Better,2,2,2,2
50,Yes,Travel_Rarely,Sales,3,2,Marketing,47,Male,Sales Representative,High,Married,2683,1,14,3,3,Better,3,2,0,2
35,No,Non-Travel,Research & Development,8,4,Life Sciences,1630,Female,Healthcare Representative,High,Married,4148,1,12,3,15,Better,14,11,2,9
30,Yes,Travel_Frequently,Sales,12,4,Life Sciences,648,Male,Sales Representative,Low,Married,2033,1,18,3,1,Best,1,0,0,0
53,No,Travel_Rarely,Research & Development,24,4,Medical,1689,Male,Healthcare Representative,Very High,Married,7005,3,15,3,11,Better,4,3,1,2
42,No,Travel_Rarely,Research & Development,8,3,Life Sciences,1860,Male,Laboratory Technician,High,Single,3968,4,13,3,8,Better,0,0,0,0
45,No,Travel_Rarely,Sales,2,3,Other,606,Male,Sales Executive,Medium,Married,4805,0,19,3,9,Best,8,7,3,7
35,Yes,Travel_Rarely,Sales,4,3,Technical Degree,1100,Male,Sales Executive,Low,Single,9582,0,22,4,9,Better,8,7,4,7
39,Yes,Travel_Rarely,Research & Development,23,3,Medical,1310,Male,Research Scientist,Low,Single,3904,0,13,3,6,Better,5,2,0,3
21,Yes,Travel_Frequently,Sales,1,1,Technical Degree,478,Female,Sales Representative,Medium,Single,2174,1,11,3,3,Better,3,2,1,2
27,Yes,Travel_Rarely,Sales,2,1,Marketing,667,Male,Sales Representative,Low,Divorced,3041,0,11,3,5,Better,4,3,0,2
30,No,Travel_Rarely,Sales,7,4,Marketing,1428,Female,Sales Executive,Low,Divorced,4779,7,14,3,8,Better,3,2,0,2
41,No,Travel_Rarely,Research & Development,6,3,Medical,466,Male,Manufacturing Director,Medium,Single,6032,6,15,3,8,Better,5,4,1,2
29,No,Travel_Rarely,Research & Development,7,1,Medical,912,Female,Laboratory Technician,Very High,Divorced,2532,6,14,3,8,Better,4,3,0,3
30,No,Travel_Rarely,Research & Development,2,1,Medical,198,Male,Laboratory Technician,Very High,Single,2720,0,13,3,6,Better,5,3,1,2
28,No,Travel_Frequently,Sales,1,2,Life Sciences,1927,Male,Sales Executive,Very High,Married,6834,1,12,3,7,Better,7,7,0,7
31,No,Travel_Rarely,Research & Development,11,2,Medical,1251,Male,Healthcare Representative,Low,Married,6833,1,12,3,6,Good,6,5,0,1
25,No,Travel_Rarely,Sales,13,1,Medical,645,Male,Sales Representative,High,Married,2096,1,11,3,7,Better,7,4,0,6
48,No,Travel_Rarely,Sales,2,5,Marketing,595,Female,Sales Executive,Very High,Married,4051,2,14,3,14,Better,9,7,6,7
31,No,Travel_Rarely,Research & Development,5,4,Technical Degree,423,Male,Research Scientist,Very High,Married,4821,0,12,3,6,Better,5,2,0,3
43,No,Travel_Rarely,Sales,4,4,Marketing,1293,Female,Sales Executive,Very High,Single,10231,3,14,3,23,Best,21,7,15,17
39,No,Travel_Rarely,Research & Development,1,1,Life Sciences,1026,Female,Manufacturing Director,Very High,Married,12742,1,16,3,21,Better,21,6,11,8
31,Yes,Travel_Rarely,Research & Development,8,3,Life Sciences,1433,Female,Research Scientist,Medium,Single,1261,1,12,3,1,Best,1,0,0,0
41,No,Travel_Rarely,Sales,8,3,Marketing,1909,Female,Sales Executive,Medium,Married,4393,5,21,4,14,Better,5,4,1,4
38,No,Travel_Rarely,Research & Development,23,4,Life Sciences,393,Male,Healthcare Representative,Very High,Divorced,5745,9,14,3,10,Better,2,2,1,2
25,No,Travel_Rarely,Sales,18,1,Life Sciences,1399,Male,Sales Executive,High,Married,6232,2,11,3,6,Good,3,2,1,2
29,No,Travel_Rarely,Research & Development,28,4,Medical,2054,Female,Research Scientist,Low,Single,3785,1,14,3,5,Bad,5,4,0,4
26,Yes,Travel_Rarely,Research & Development,21,3,Medical,1107,Male,Laboratory Technician,High,Divorced,2377,1,20,4,1,Good,1,1,0,0
25,No,Travel_Frequently,Research & Development,2,1,Life Sciences,1653,Male,Manufacturing Director,High,Divorced,5206,1,17,3,7,Better,7,7,0,7
40,No,Travel_Rarely,Research & Development,16,3,Life Sciences,1641,Female,Manufacturing Director,Very High,Single,7945,6,15,3,18,Good,4,2,3,3
32,Yes,Non-Travel,Sales,11,4,Other,631,Male,Sales Executive,High,Married,4707,8,12,3,6,Better,4,2,1,2
51,No,Travel_Rarely,Research & Development,3,3,Medical,258,Female,Healthcare Representative,Medium,Single,13734,3,18,3,21,Better,7,7,1,0
29,No,Travel_Rarely,Sales,10,3,Marketing,766,Male,Sales Representative,Medium,Divorced,2297,1,14,3,2,Better,2,2,2,2
50,No,Travel_Frequently,Sales,12,3,Marketing,174,Female,Sales Executive,Very High,Single,9208,4,11,3,16,Better,2,2,2,1
41,No,Travel_Rarely,Human Resources,10,4,Human Resources,731,Male,Manager,Very High,Divorced,19141,3,15,3,23,Good,21,6,12,6
56,No,Travel_Rarely,Research & Development,4,4,Technical Degree,1191,Female,Manager,Low,Divorced,19943,4,13,3,28,Better,5,2,4,2
29,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1264,Female,Research Director,Very High,Divorced,16124,3,14,3,9,Good,7,7,1,7
32,No,Travel_Rarely,Sales,6,4,Medical,125,Male,Sales Executive,High,Single,5010,1,16,3,12,Better,11,8,5,7
29,No,Travel_Rarely,Research & Development,23,2,Life Sciences,824,Male,Research Scientist,High,Married,2700,1,24,4,10,Better,10,7,0,7
45,No,Travel_Rarely,Research & Development,9,3,Life Sciences,206,Male,Laboratory Technician,Medium,Divorced,2348,8,18,3,20,Bad,17,9,0,15
52,No,Travel_Rarely,Research & Development,4,2,Life Sciences,546,Female,Manager,Very High,Married,16555,2,13,3,31,Bad,5,2,1,4
28,Yes,Travel_Rarely,Research & Development,2,4,Life Sciences,364,Male,Laboratory Technician,High,Single,3485,2,11,3,5,Bad,0,0,0,0
43,No,Travel_Rarely,Research & Development,12,3,Life Sciences,520,Male,Research Director,Medium,Divorced,14336,1,11,3,25,Better,25,10,3,9
45,No,Travel_Rarely,Research & Development,20,3,Medical,1460,Male,Healthcare Representative,Low,Divorced,10851,2,18,3,24,Better,7,7,0,7
35,Yes,Travel_Rarely,Research & Development,14,4,Other,1010,Male,Laboratory Technician,Medium,Divorced,3743,1,24,4,5,Bad,4,2,0,2
34,No,Travel_Rarely,Sales,21,4,Life Sciences,621,Male,Sales Executive,Very High,Single,5337,1,12,3,10,Better,10,7,5,7
29,No,Travel_Frequently,Research & Development,2,1,Life Sciences,1590,Male,Healthcare Representative,Very High,Divorced,8853,1,19,3,6,Best,6,4,1,3
27,No,Travel_Rarely,Research & Development,5,3,Life Sciences,434,Female,Research Scientist,Medium,Single,2478,1,12,3,4,Good,4,3,1,2
33,No,Travel_Frequently,Research & Development,5,4,Life Sciences,428,Female,Manager,Medium,Married,11878,6,11,3,12,Better,10,6,8,8
41,Yes,Travel_Rarely,Research & Development,12,3,Technical Degree,58,Female,Research Director,High,Married,19545,1,12,3,23,Better,22,15,15,8
33,Yes,Travel_Rarely,Sales,5,3,Marketing,485,Female,Sales Representative,High,Single,2851,1,13,3,1,Better,1,0,0,0
49,No,Travel_Rarely,Research & Development,8,2,Other,944,Female,Laboratory Technician,Medium,Married,7403,4,11,3,29,Good,26,9,1,7
35,No,Travel_Rarely,Research & Development,6,4,Life Sciences,691,Male,Research Scientist,Very High,Single,6646,1,13,3,17,Better,17,11,11,8
32,No,Travel_Rarely,Sales,13,4,Life Sciences,859,Male,Sales Executive,Very High,Divorced,4403,2,11,3,8,Good,5,2,0,3
40,No,Non-Travel,Research & Development,9,5,Life Sciences,287,Male,Healthcare Representative,Very High,Married,4876,9,14,3,5,Bad,3,2,0,2
40,Yes,Travel_Rarely,Sales,25,4,Marketing,1318,Male,Sales Executive,Medium,Single,9094,2,12,3,9,Better,5,4,1,0
34,No,Travel_Frequently,Research & Development,1,4,Other,1431,Male,Research Scientist,Low,Divorced,2996,5,14,3,10,Better,4,3,1,3
35,No,Travel_Rarely,Research & Development,18,5,Life Sciences,1621,Male,Research Scientist,Low,Married,5208,1,11,3,16,Better,16,15,1,10
49,No,Travel_Frequently,Research & Development,2,1,Life Sciences,1941,Male,Research Director,Very High,Married,19161,3,15,3,28,Better,5,4,4,3
29,No,Travel_Rarely,Human Resources,6,1,Medical,1865,Male,Human Resources,Medium,Married,2804,1,11,3,1,Better,1,0,0,0
30,No,Travel_Rarely,Research & Development,7,3,Medical,1609,Male,Research Scientist,Medium,Married,2141,1,12,3,6,Good,6,4,1,1
43,No,Travel_Rarely,Research & Development,6,3,Medical,1866,Female,Manager,High,Married,19392,7,13,3,21,Better,16,12,6,14
32,Yes,Travel_Rarely,Research & Development,2,4,Life Sciences,1692,Male,Laboratory Technician,Medium,Single,1393,1,12,3,1,Better,1,0,0,0
31,No,Non-Travel,Sales,20,2,Marketing,947,Female,Sales Executive,High,Married,6932,1,13,3,9,Good,9,8,0,0
39,No,Non-Travel,Sales,21,4,Life Sciences,1929,Female,Sales Executive,High,Married,5736,6,19,3,10,Better,3,2,1,2
29,No,Travel_Rarely,Research & Development,19,3,Technical Degree,611,Male,Manufacturing Director,Very High,Divorced,4262,4,12,3,8,Best,3,2,1,2
55,No,Travel_Rarely,Research & Development,2,2,Medical,1336,Female,Manager,High,Married,19187,4,14,3,23,Better,19,9,9,11
48,No,Travel_Rarely,Research & Development,4,4,Life Sciences,1024,Male,Healthcare Representative,High,Single,10999,7,14,3,27,Better,15,11,4,8
30,No,Travel_Rarely,Sales,5,3,Life Sciences,228,Female,Sales Executive,Very High,Married,9419,2,12,3,12,Better,10,9,7,4
41,Yes,Travel_Rarely,Sales,1,2,Life Sciences,1,Female,Sales Executive,Very High,Single,5993,8,11,3,8,Bad,6,4,0,5
29,No,Travel_Frequently,Research & Development,10,3,Life Sciences,1143,Female,Research Scientist,Medium,Divorced,3291,0,14,3,8,Good,7,5,1,1
34,No,Travel_Rarely,Research & Development,1,4,Life Sciences,1580,Male,Research Scientist,Very High,Married,5484,9,17,3,9,Good,2,2,2,1
31,No,Travel_Rarely,Research & Development,2,1,Medical,1974,Female,Laboratory Technician,Very High,Divorced,1129,1,11,3,1,Better,1,0,0,0
36,No,Travel_Frequently,Sales,3,4,Medical,481,Male,Sales Executive,Very High,Married,9699,4,11,3,16,Better,13,9,1,12
36,Yes,Travel_Rarely,Research & Development,16,4,Life Sciences,1042,Female,Laboratory Technician,Low,Single,2743,1,16,3,18,Better,17,13,15,14
23,Yes,Travel_Rarely,Research & Development,6,3,Life Sciences,811,Male,Laboratory Technician,Low,Married,1601,1,21,4,1,Better,0,0,0,0
59,No,Travel_Rarely,Research & Development,3,3,Life Sciences,309,Male,Research Scientist,Very High,Married,2177,3,17,3,7,Better,1,0,0,0
54,No,Travel_Rarely,Research & Development,2,4,Technical Degree,126,Female,Research Director,High,Married,13549,9,12,3,16,Bad,4,3,0,3
31,Yes,Non-Travel,Research & Development,9,2,Medical,991,Male,Research Scientist,Low,Single,2321,0,22,4,4,Better,3,2,1,2
42,No,Travel_Frequently,Research & Development,2,3,Life Sciences,1547,Male,Healthcare Representative,Very High,Married,10124,2,14,3,24,Bad,20,8,13,9
42,No,Travel_Frequently,Sales,26,3,Marketing,404,Female,Sales Executive,Medium,Married,13525,5,14,3,23,Best,20,4,4,8
33,No,Travel_Frequently,Research & Development,1,4,Other,998,Female,Healthcare Representative,Medium,Married,5488,1,13,3,6,Better,6,5,1,2
35,No,Travel_Rarely,Research & Development,9,4,Medical,2008,Male,Research Scientist,High,Single,5098,1,19,3,10,Better,10,7,0,8
38,No,Travel_Rarely,Sales,2,2,Life Sciences,1355,Female,Sales Executive,Low,Divorced,6893,3,15,3,11,Better,7,7,1,7
56,No,Travel_Frequently,Research & Development,9,3,Medical,1071,Female,Research Scientist,High,Married,2942,2,19,3,18,Better,5,4,0,3
18,Yes,Travel_Frequently,Sales,5,3,Marketing,614,Male,Sales Representative,Medium,Single,1878,1,14,3,0,Better,0,0,0,0
34,No,Travel_Frequently,Research & Development,22,4,Other,1932,Male,Research Scientist,Very High,Married,5747,1,15,3,16,Better,15,10,6,11
25,No,Travel_Rarely,Research & Development,1,3,Medical,1303,Female,Research Scientist,Medium,Single,2096,1,18,3,2,Good,2,2,2,1
27,No,Travel_Rarely,Sales,2,3,Life Sciences,437,Male,Sales Executive,High,Single,4478,1,11,3,5,Better,5,4,0,4
34,No,Travel_Rarely,Sales,13,4,Medical,1951,Male,Sales Executive,High,Divorced,8628,1,18,3,9,Good,8,7,1,1
20,No,Travel_Rarely,Sales,2,3,Medical,1657,Female,Sales Representative,High,Single,2783,1,19,3,2,Better,2,2,2,2
40,No,Travel_Rarely,Sales,26,3,Marketing,1066,Male,Sales Executive,Low,Married,8396,1,14,3,8,Good,7,7,7,5
45,No,Travel_Rarely,Research & Development,1,4,Medical,996,Female,Laboratory Technician,Very High,Divorced,2270,3,14,3,8,Better,5,3,0,2
45,No,Non-Travel,Research & Development,1,1,Life Sciences,1712,Male,Healthcare Representative,High,Married,10748,3,23,4,25,Good,23,15,14,4
36,No,Travel_Rarely,Research & Development,3,2,Life Sciences,155,Female,Laboratory Technician,Very High,Divorced,2835,5,22,4,7,Better,1,0,0,0
44,No,Travel_Rarely,Research & Development,7,4,Medical,36,Female,Healthcare Representative,Very High,Married,10248,3,14,3,24,Better,22,6,5,17
36,No,Travel_Rarely,Research & Development,2,4,Life Sciences,1294,Female,Manufacturing Director,Medium,Single,5410,9,11,3,18,Better,16,14,5,12
37,Yes,Travel_Rarely,Human Resources,6,4,Human Resources,133,Male,Human Resources,Low,Divorced,2073,4,22,4,7,Better,3,2,0,2
53,No,Travel_Rarely,Research & Development,7,2,Medical,1201,Female,Manager,High,Divorced,18606,3,18,3,26,Better,7,7,4,7
41,No,Travel_Rarely,Research & Development,14,3,Life Sciences,227,Male,Research Scientist,High,Divorced,2451,4,12,3,13,Better,9,8,1,8
39,No,Travel_Frequently,Research & Development,4,3,Medical,1633,Female,Manufacturing Director,High,Single,5042,0,13,3,10,Bad,9,2,3,8
49,No,Travel_Rarely,Research & Development,25,4,Life Sciences,1617,Female,Laboratory Technician,Low,Married,3211,1,14,3,10,Good,9,6,1,4
42,No,Travel_Rarely,Research & Development,18,4,Life Sciences,1998,Male,Research Scientist,Low,Divorced,5410,6,17,3,9,Good,4,3,1,2
34,No,Travel_Rarely,Sales,2,3,Other,786,Male,Sales Executive,Very High,Single,6274,1,22,4,6,Better,6,5,1,4
42,No,Travel_Rarely,Research & Development,9,2,Other,1595,Male,Manager,Very High,Single,19613,8,22,4,24,Better,1,0,0,1
41,No,Travel_Rarely,Research & Development,6,3,Medical,957,Male,Laboratory Technician,Low,Single,4721,2,13,3,20,Better,18,13,2,17
28,No,Travel_Frequently,Sales,7,3,Life Sciences,1507,Male,Sales Executive,Low,Single,4898,0,14,3,5,Better,4,2,1,3
41,No,Travel_Rarely,Research & Development,9,4,Life Sciences,200,Male,Laboratory Technician,Low,Married,2238,2,21,4,7,Better,5,0,1,4
25,No,Non-Travel,Research & Development,5,2,Life Sciences,369,Male,Healthcare Representative,Low,Divorced,4000,1,12,3,6,Better,6,3,1,5
24,No,Travel_Rarely,Research & Development,9,3,Medical,1707,Male,Research Scientist,High,Married,4401,1,16,3,5,Better,5,3,0,4
33,No,Travel_Rarely,Sales,10,5,Marketing,1268,Male,Sales Executive,High,Divorced,8380,0,14,3,10,Better,9,8,0,8
48,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1263,Male,Research Director,Very High,Single,18265,6,12,3,25,Best,1,0,0,0
38,No,Travel_Rarely,Sales,2,4,Marketing,1835,Female,Sales Representative,Very High,Married,5405,2,20,4,20,Good,4,2,0,3
34,No,Travel_Rarely,Research & Development,8,5,Life Sciences,775,Female,Manufacturing Director,Low,Divorced,5121,3,14,3,7,Better,0,0,0,0
44,Yes,Travel_Rarely,Research & Development,15,3,Medical,1295,Female,Healthcare Representative,Very High,Married,7978,1,11,3,10,Better,10,7,0,5
30,No,Travel_Rarely,Research & Development,20,3,Other,1084,Male,Manufacturing Director,Low,Married,9957,0,15,3,7,Good,6,2,0,2
57,No,Travel_Rarely,Research & Development,24,2,Life Sciences,223,Male,Healthcare Representative,Very High,Divorced,9439,3,16,3,12,Bad,5,3,1,4
29,Yes,Travel_Rarely,Sales,9,3,Marketing,1752,Female,Sales Representative,Medium,Single,2760,1,13,3,2,Better,2,2,2,2
29,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1249,Female,Research Scientist,Very High,Divorced,3760,1,15,3,3,Better,3,2,1,2
42,No,Travel_Frequently,Research & Development,9,2,Medical,1480,Female,Laboratory Technician,Very High,Single,3673,1,13,3,12,Better,12,9,5,8
36,No,Travel_Frequently,Sales,7,3,Marketing,1362,Female,Sales Executive,Low,Married,4639,2,16,3,17,Good,15,7,6,13
39,No,Travel_Rarely,Research & Development,18,2,Life Sciences,1322,Male,Manufacturing Director,High,Single,4534,0,11,3,9,Better,8,7,1,7
22,No,Travel_Rarely,Research & Development,2,1,Technical Degree,169,Male,Laboratory Technician,Very High,Married,2523,0,14,3,3,Better,2,1,2,1
20,No,Travel_Rarely,Sales,9,1,Life Sciences,1680,Male,Sales Representative,Low,Single,2728,1,11,3,2,Better,2,2,0,2
51,No,Travel_Rarely,Research & Development,3,3,Technical Degree,1786,Female,Manager,High,Married,13116,2,11,3,15,Better,2,2,2,2
26,Yes,Travel_Rarely,Human Resources,20,2,Medical,1818,Female,Human Resources,Medium,Married,2148,0,11,3,6,Better,5,1,1,4
20,Yes,Travel_Rarely,Research & Development,4,3,Technical Degree,960,Male,Laboratory Technician,Low,Single,2973,1,19,3,1,Better,1,0,0,0
28,Yes,Travel_Rarely,Research & Development,17,3,Technical Degree,1960,Male,Laboratory Technician,Very High,Divorced,2367,5,12,3,6,Good,4,1,0,3
55,No,Non-Travel,Research & Development,8,1,Medical,1278,Male,Healthcare Representative,Medium,Divorced,13577,1,15,3,34,Better,33,9,15,0
27,No,Travel_Rarely,Sales,9,3,Marketing,1965,Male,Sales Executive,Very High,Single,4105,1,14,3,7,Better,7,7,0,7
26,No,Travel_Rarely,Sales,10,3,Medical,1836,Male,Sales Executive,Very High,Single,4684,1,13,3,5,Better,5,3,1,2
29,No,Travel_Rarely,Research & Development,4,3,Technical Degree,1762,Female,Research Scientist,Low,Divorced,2109,1,13,3,1,Better,1,0,0,0
24,No,Travel_Rarely,Research & Development,1,2,Life Sciences,1981,Male,Healthcare Representative,High,Single,4617,1,12,3,4,Good,4,3,1,2
42,No,Travel_Rarely,Sales,1,1,Life Sciences,387,Male,Sales Executive,High,Married,4907,1,25,4,20,Better,20,16,11,6
50,No,Travel_Rarely,Research & Development,24,3,Life Sciences,1005,Male,Manufacturing Director,High,Married,13973,3,18,3,22,Better,12,11,1,5
43,No,Travel_Frequently,Research & Development,1,3,Life Sciences,902,Female,Healthcare Representative,Very High,Married,5562,4,13,3,12,Good,5,2,2,2
48,No,Travel_Rarely,Research & Development,10,3,Life Sciences,1867,Male,Research Director,Medium,Married,19665,4,12,3,29,Better,22,10,12,9
50,No,Non-Travel,Research & Development,2,4,Life Sciences,905,Male,Manager,Low,Divorced,17924,1,11,3,31,Better,31,6,14,7
39,Yes,Travel_Frequently,Research & Development,2,3,Life Sciences,1127,Male,Healthcare Representative,Very High,Divorced,12169,7,11,3,21,Better,18,7,11,5
32,No,Travel_Frequently,Sales,8,3,Marketing,207,Female,Sales Executive,Very High,Single,8998,1,14,3,9,Better,9,8,3,7
30,No,Non-Travel,Sales,22,4,Other,567,Female,Sales Executive,Low,Married,8412,0,11,3,10,Better,9,8,7,8
40,No,Travel_Rarely,Research & Development,19,2,Medical,281,Male,Laboratory Technician,Very High,Married,2741,8,15,3,15,Best,7,2,3,7
33,No,Travel_Frequently,Sales,25,3,Medical,1220,Female,Sales Executive,High,Married,4539,1,12,3,10,Good,10,7,0,1
29,No,Travel_Rarely,Research & Development,9,3,Life Sciences,1558,Male,Research Scientist,High,Married,2451,6,18,3,5,Good,1,0,0,0
29,No,Travel_Frequently,Research & Development,1,3,Life Sciences,1753,Male,Healthcare Representative,High,Single,6294,8,12,3,10,Best,3,2,0,2
43,No,Travel_Rarely,Research & Development,6,3,Medical,1402,Female,Research Scientist,High,Single,4081,1,14,3,20,Bad,20,7,1,8
48,No,Travel_Frequently,Research & Development,22,3,Medical,1900,Female,Manager,Very High,Divorced,17174,3,11,3,24,Better,22,17,4,7
31,No,Travel_Frequently,Research & Development,24,1,Technical Degree,1736,Female,Manufacturing Director,Very High,Single,5238,2,20,4,9,Good,5,4,1,4
35,Yes,Travel_Frequently,Sales,18,4,Marketing,1380,Female,Sales Executive,High,Married,4614,0,18,3,5,Good,4,2,3,2
29,No,Travel_Rarely,Sales,5,3,Medical,1669,Male,Sales Executive,Medium,Divorced,4187,1,13,3,10,Good,10,0,0,9
36,No,Travel_Rarely,Human Resources,8,3,Life Sciences,878,Male,Human Resources,Low,Married,2342,0,21,4,6,Better,5,4,0,3
55,No,Travel_Frequently,Research & Development,18,4,Medical,1034,Male,Healthcare Representative,Medium,Married,6385,3,14,3,17,Better,8,7,6,7
55,Yes,Travel_Rarely,Sales,13,4,Marketing,1372,Male,Sales Executive,High,Single,13695,6,17,3,24,Good,19,7,3,8
26,No,Non-Travel,Research & Development,7,3,Medical,1693,Male,Laboratory Technician,Very High,Single,2570,1,20,4,7,Better,7,7,5,7
34,No,Travel_Frequently,Research & Development,2,1,Life Sciences,256,Male,Manufacturing Director,High,Married,9547,1,17,3,10,Good,10,9,1,9
45,No,Travel_Rarely,Sales,4,2,Life Sciences,240,Female,Sales Executive,Low,Divorced,5006,4,11,3,9,Best,5,4,0,3
43,No,Travel_Rarely,Research & Development,27,3,Technical Degree,1599,Male,Laboratory Technician,Medium,Divorced,4876,5,12,3,8,Better,6,4,0,2
38,No,Travel_Rarely,Research & Development,2,5,Medical,773,Male,Research Scientist,High,Married,3057,6,13,3,6,Bad,1,0,0,1
28,No,Travel_Rarely,Research & Development,17,2,Medical,536,Male,Laboratory Technician,Low,Divorced,4558,1,12,3,10,Better,10,0,1,8
31,No,Travel_Rarely,Sales,6,4,Medical,653,Male,Sales Executive,Very High,Divorced,5460,4,22,4,13,Best,7,7,5,7
24,Yes,Travel_Rarely,Sales,1,1,Technical Degree,554,Female,Sales Representative,Medium,Single,3202,1,16,3,6,Better,5,3,1,4
55,No,Travel_Rarely,Research & Development,8,3,Medical,84,Female,Manager,High,Divorced,14756,2,14,3,21,Better,5,0,0,2
37,No,Travel_Rarely,Research & Development,7,4,Medical,102,Male,Research Director,High,Single,13664,4,13,3,16,Best,5,2,0,2
47,No,Travel_Frequently,Research & Development,16,4,Medical,987,Male,Manufacturing Director,High,Divorced,5067,1,19,3,20,Best,19,10,2,7
31,Yes,Travel_Rarely,Sales,16,4,Marketing,1761,Male,Sales Executive,High,Married,8161,2,13,3,10,Better,1,0,0,0
37,Yes,Travel_Rarely,Research & Development,10,4,Medical,1809,Male,Manufacturing Director,Low,Single,4213,1,15,3,10,Bad,10,3,0,8
41,No,Travel_Frequently,Research & Development,10,3,Life Sciences,199,Male,Manager,Low,Divorced,17181,4,13,3,21,Good,7,6,7,7
25,No,Travel_Rarely,Research & Development,1,3,Technical Degree,1415,Male,Laboratory Technician,Very High,Married,3229,4,11,3,7,Good,3,2,0,2
31,No,Travel_Rarely,Sales,2,2,Life Sciences,1996,Male,Sales Representative,High,Married,3067,0,19,3,3,Better,2,2,1,2
51,No,Travel_Rarely,Research & Development,7,4,Medical,211,Male,Manufacturing Director,High,Married,6132,2,17,3,10,Better,1,0,0,0
29,Yes,Travel_Rarely,Research & Development,18,1,Medical,315,Male,Research Scientist,Very High,Single,2389,1,13,3,4,Good,4,3,0,1
42,No,Travel_Rarely,Research & Development,3,3,Life Sciences,894,Female,Laboratory Technician,Very High,Married,5231,2,13,3,17,Good,5,3,1,3
32,No,Travel_Rarely,Sales,10,3,Marketing,722,Male,Sales Executive,Very High,Single,5396,1,12,3,10,Good,10,7,0,8
32,No,Travel_Rarely,Sales,2,1,Marketing,1396,Male,Sales Executive,Medium,Married,4078,0,13,3,4,Good,3,2,1,2
43,No,Travel_Frequently,Research & Development,28,3,Medical,171,Female,Research Scientist,High,Single,4739,4,12,3,18,Better,3,2,1,2
23,Yes,Travel_Rarely,Sales,7,3,Life Sciences,1702,Male,Sales Representative,Very High,Divorced,2275,1,21,4,3,Better,3,2,0,2
39,Yes,Travel_Rarely,Sales,5,3,Technical Degree,42,Male,Sales Representative,Very High,Married,2086,3,14,3,19,Best,1,0,0,0
33,No,Travel_Frequently,Research & Development,7,2,Life Sciences,1970,Male,Healthcare Representative,High,Divorced,5968,1,20,4,9,Better,9,7,2,8
40,No,Travel_Frequently,Research & Development,9,4,Medical,964,Male,Research Scientist,Medium,Divorced,3617,8,14,3,3,Better,1,1,0,0
35,No,Travel_Rarely,Research & Development,27,1,Medical,856,Female,Research Scientist,Low,Single,2559,1,11,3,6,Good,6,5,1,1
38,No,Travel_Rarely,Sales,7,2,Medical,382,Female,Sales Executive,Low,Divorced,5605,1,24,4,8,Better,8,0,7,7
27,No,Travel_Frequently,Sales,8,1,Marketing,800,Male,Sales Executive,Very High,Married,4342,0,19,3,5,Better,4,2,1,1
24,No,Travel_Rarely,Research & Development,24,3,Medical,1173,Male,Laboratory Technician,Medium,Single,3597,8,22,4,6,Better,4,3,1,2
30,No,Travel_Rarely,Research & Development,1,2,Medical,1989,Male,Laboratory Technician,Medium,Married,3748,1,13,3,12,Good,12,8,1,7
38,No,Travel_Rarely,Sales,1,3,Life Sciences,1961,Male,Sales Representative,Low,Single,2858,4,14,3,20,Good,1,0,0,0
55,No,Travel_Rarely,Sales,1,2,Life Sciences,106,Male,Sales Executive,Very High,Married,10239,3,14,3,24,Better,1,0,1,0
41,No,Travel_Frequently,Research & Development,9,3,Medical,999,Male,Research Director,High,Divorced,19419,2,17,3,21,Best,18,16,0,11
47,No,Travel_Rarely,Sales,14,3,Medical,1503,Female,Sales Executive,High,Married,4591,3,17,3,11,Good,5,4,1,2
37,No,Travel_Rarely,Research & Development,3,3,Other,1062,Female,Healthcare Representative,Medium,Single,4107,3,15,3,8,Good,4,3,0,1
